timestamp,class,confidence,x1,y1,x2,y2,width,height,center_x,center_y,area
2025-06-20T23:02:54.430942,person,0.876,131,152,250,447,118,295,191,300,34810
2025-06-20T23:02:54.430942,person,0.821,544,225,647,481,103,256,595,353,26368
2025-06-20T23:02:54.430942,person,0.818,627,199,724,480,96,280,676,339,26880
2025-06-20T23:02:54.430942,person,0.792,1072,182,1123,316,50,134,1097,249,6700
2025-06-20T23:02:54.430942,car,0.771,235,215,479,403,243,188,357,309,45684
2025-06-20T23:02:54.430942,car,0.683,512,202,661,347,149,144,587,274,21456
2025-06-20T23:02:54.430942,person,0.64,1126,185,1169,315,42,129,1147,250,5418
2025-06-20T23:02:54.430942,car,0.621,449,182,569,326,119,144,509,254,17136
2025-06-20T23:02:54.430942,truck,0.591,417,142,544,231,127,89,481,187,11303
2025-06-20T23:02:54.430942,truck,0.532,798,96,965,303,167,206,881,199,34402
2025-06-20T23:02:54.430942,bus,0.511,797,96,965,302,168,206,881,199,34608
