epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.6709,1.03203,0.8899,0.99857,0.32958,0.000332606,0.000332606,0.000332606
2,31.2226,0.60435,0.89466,0.99809,0.30993,0.000639568,0.000639568,0.000639568
3,46.4821,0.55119,0.87989,0.99905,0.3588,0.00092013,0.00092013,0.00092013
4,61.1228,0.51894,0.89037,0.99857,0.33174,0.0008812,0.0008812,0.0008812
5,73.9079,0.42827,0.90515,0.99809,0.29821,0.0008416,0.0008416,0.0008416
6,88.0849,0.38864,0.90944,0.99809,0.26696,0.000802,0.000802,0.000802
7,103.408,0.35436,0.90991,0.99905,0.29302,0.0007624,0.0007624,0.0007624
8,119.642,0.32343,0.90515,0.99952,0.30449,0.0007228,0.0007228,0.0007228
9,135.645,0.30266,0.9142,0.99905,0.266,0.0006832,0.0006832,0.0006832
10,151.721,0.28725,0.92326,0.99905,0.24105,0.0006436,0.0006436,0.0006436
11,167.805,0.25841,0.90562,0.99809,0.32134,0.000604,0.000604,0.000604
12,183.338,0.24536,0.91849,0.99905,0.27128,0.0005644,0.0005644,0.0005644
13,197.786,0.21996,0.93327,0.99905,0.23997,0.0005248,0.0005248,0.0005248
14,212.863,0.21915,0.91849,0.99952,0.27711,0.0004852,0.0004852,0.0004852
15,226.151,0.20173,0.9285,0.99952,0.24163,0.0004456,0.0004456,0.0004456
16,244.85,0.18308,0.91706,0.99857,0.26787,0.000406,0.000406,0.000406
17,257.773,0.16633,0.92946,0.99857,0.24624,0.0003664,0.0003664,0.0003664
18,273.127,0.17181,0.92898,0.99905,0.24523,0.0003268,0.0003268,0.0003268
19,289.28,0.14926,0.92612,0.99857,0.28181,0.0002872,0.0002872,0.0002872
20,305.206,0.13791,0.93327,0.99905,0.24529,0.0002476,0.0002476,0.0002476
21,321.418,0.12761,0.93375,0.99857,0.26458,0.000208,0.000208,0.000208
22,337.474,0.11964,0.93089,0.99857,0.25068,0.0001684,0.0001684,0.0001684
23,353.576,0.1143,0.9285,0.99809,0.28431,0.0001288,0.0001288,0.0001288
