epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.656,1.69167,2.29486,1.69709,0.27996,0.16169,0.13684,0.05905,2.13046,3.1672,2.29469,0.0804321,0.000399345,0.000399345
2,211.363,1.70715,2.2007,1.74269,0.2229,0.22207,0.17271,0.07327,2.02927,2.4405,2.08941,0.0608281,0.000795389,0.000795389
3,313.944,1.69484,2.15769,1.73633,0.23569,0.22156,0.16826,0.07666,1.87392,2.55734,1.929,0.0412202,0.00118747,0.00118747
4,412.924,1.68024,2.10908,1.72134,0.26293,0.20883,0.15776,0.07365,1.92187,2.70225,2.08573,0.0216083,0.0015756,0.0015756
5,509.372,1.66106,2.04956,1.69824,0.31091,0.25872,0.2466,0.11674,1.8974,2.16408,1.95837,0.00199249,0.00195976,0.00195976
6,605.63,1.64437,2.05139,1.70083,0.34057,0.27251,0.26053,0.1279,1.84749,2.46459,1.89958,0.0019505,0.0019505,0.0019505
7,700.83,1.62058,1.94702,1.66274,0.3282,0.26961,0.25374,0.12932,1.8044,1.97651,1.89202,0.0019406,0.0019406,0.0019406
8,796.317,1.59256,1.91552,1.65112,0.34603,0.31446,0.28522,0.15603,1.64612,1.79263,1.75788,0.0019307,0.0019307,0.0019307
9,891.963,1.58777,1.84867,1.62931,0.40913,0.3312,0.31618,0.18127,1.59559,1.69704,1.72128,0.0019208,0.0019208,0.0019208
10,987.519,1.55947,1.84286,1.62852,0.38085,0.30018,0.29209,0.15137,1.6865,1.78715,1.79349,0.0019109,0.0019109,0.0019109
11,1083.07,1.53091,1.79597,1.61241,0.38079,0.31789,0.31251,0.18217,1.57657,1.72637,1.67124,0.001901,0.001901,0.001901
12,1178.54,1.52992,1.77454,1.59772,0.44235,0.31365,0.33021,0.18503,1.63505,1.77544,1.71487,0.0018911,0.0018911,0.0018911
13,1273.96,1.5236,1.74461,1.59999,0.41778,0.3345,0.32659,0.18565,1.61751,1.73947,1.72213,0.0018812,0.0018812,0.0018812
14,1369.05,1.49879,1.72177,1.58551,0.3963,0.32831,0.32313,0.18324,1.53399,1.63423,1.64719,0.0018713,0.0018713,0.0018713
